Problem_Id	Problem_link	Category_1	Category_2	Category_3	Category_4	Dificulty 	Solved
1763A	https://codeforces.com/problemset/problem/1763/A	bitmasks	constructive algorithms	greedy	math	800	x13253
1762G	https://codeforces.com/problemset/problem/1762/G	constructive algorithms	sortings			3100	
1762F	https://codeforces.com/problemset/problem/1762/F	binary search	data structures	dp		2600	x284
1762E	https://codeforces.com/problemset/problem/1762/E	combinatorics	math	trees		2600	
1762D	https://codeforces.com/problemset/problem/1762/D	constructive algorithms	interactive	number theory		2100	x2476
1762C	https://codeforces.com/problemset/problem/1762/C	combinatorics	math			1400	
1762B	https://codeforces.com/problemset/problem/1762/B	constructive algorithms	implementation	number theory	sortings	1100	x12966
1762A	https://codeforces.com/problemset/problem/1762/A	greedy	math	number theory		800	
1761G	https://codeforces.com/problemset/problem/1761/G	interactive	probabilities	trees		3500	x73
1761F2	https://codeforces.com/problemset/problem/1761/F2	combinatorics	dp	math		3500	
1761F1	https://codeforces.com/problemset/problem/1761/F1	dp	math			3100	x125
1761E	https://codeforces.com/problemset/problem/1761/E	binary search	brute force	constructive algorithms	dsu	2400	
1761D	https://codeforces.com/problemset/problem/1761/D	combinatorics	math			2100	x1853
1761C	https://codeforces.com/problemset/problem/1761/C	constructive algorithms	dfs and similar	graphs	greedy	1400	
1761B	https://codeforces.com/problemset/problem/1761/B	constructive algorithms	greedy	implementation		1000	x10736
1761A	https://codeforces.com/problemset/problem/1761/A	brute force	constructive algorithms			800	
1760G	https://codeforces.com/problemset/problem/1760/G	bitmasks	dfs and similar	graphs		1700	x4746
1760F	https://codeforces.com/problemset/problem/1760/F	binary search	greedy	sortings		1500	
1760E	https://codeforces.com/problemset/problem/1760/E	data structures	greedy	math		1100	x14283
1760D	https://codeforces.com/problemset/problem/1760/D	implementation	two pointers			1000	
1760C	https://codeforces.com/problemset/problem/1760/C	data structures	implementation	sortings		800	x25905
1760B	https://codeforces.com/problemset/problem/1760/B	greedy	implementation	strings		800	
1760A	https://codeforces.com/problemset/problem/1760/A	implementation	sortings			800	x33933
1759G	https://codeforces.com/problemset/problem/1759/G	binary search	constructive algorithms	data structures	greedy	1900	
1759F	https://codeforces.com/problemset/problem/1759/F	binary search	data structures	greedy	math	1800	x2560
1759E	https://codeforces.com/problemset/problem/1759/E	brute force	dp	sortings		1500	
1759D	https://codeforces.com/problemset/problem/1759/D	brute force	number theory			1400	x8250
1759C	https://codeforces.com/problemset/problem/1759/C	greedy	math	shortest paths		1100	
1759B	https://codeforces.com/problemset/problem/1759/B	math				800	x17976
1759A	https://codeforces.com/problemset/problem/1759/A	implementation	strings			800	
1758F	https://codeforces.com/problemset/problem/1758/F	constructive algorithms	data structures			3000	x98
1758E	https://codeforces.com/problemset/problem/1758/E	combinatorics	dfs and similar	dsu	graphs	2500	
1758D	https://codeforces.com/problemset/problem/1758/D	binary search	brute force	constructive algorithms	math	1800	x4947
1758C	https://codeforces.com/problemset/problem/1758/C	greedy	number theory			1400	
1758B	https://codeforces.com/problemset/problem/1758/B	constructive algorithms				900	x16213
1758A	https://codeforces.com/problemset/problem/1758/A	constructive algorithms	strings			800	
1754B	https://codeforces.com/problemset/problem/1754/B	constructive algorithms	greedy	math		800	x16740
1754A	https://codeforces.com/problemset/problem/1754/A	greedy				800	
1753F	https://codeforces.com/problemset/problem/1753/F	brute force	two pointers			3500	x129
1753E	https://codeforces.com/problemset/problem/1753/E	binary search	brute force	greedy		3300	
1753D	https://codeforces.com/problemset/problem/1753/D	constructive algorithms	dfs and similar	graphs	shortest paths	2400	x1205
1753C	https://codeforces.com/problemset/problem/1753/C	dp	math	probabilities		2000	
1753B	https://codeforces.com/problemset/problem/1753/B	math	number theory			1600	x9179
1753A2	https://codeforces.com/problemset/problem/1753/A2	constructive algorithms	dp	greedy		1500	
1753A1	https://codeforces.com/problemset/problem/1753/A1	constructive algorithms	dp	greedy		1300	x11467
1750H	https://codeforces.com/problemset/problem/1750/H	constructive algorithms	data structures	dp		3500	
